,index_code,con_code,trade_date,weight,prev,pct_chg
204,399300.SZ,000733.SZ,20231130,0.145,-1.0094,-1.0094
205,399300.SZ,002601.SZ,20231130,0.144,1.2411,1.2411
206,399300.SZ,688396.SH,20231130,0.144,0.1344,0.1344
207,399300.SZ,601117.SH,20231130,0.141,0.0,0.0
208,399300.SZ,688126.SH,20231130,0.14,1.2274,1.2274
209,399300.SZ,002202.SZ,20231130,0.139,0.8827,0.8827
210,399300.SZ,003816.SZ,20231130,0.138,1.3029,1.3029
211,399300.SZ,601877.SH,20231130,0.137,0.8439,0.8439
212,399300.SZ,000786.SZ,20231130,0.137,0.2575,0.2575
213,399300.SZ,002074.SZ,20231130,0.137,0.5613,0.5613
214,399300.SZ,000876.SZ,20231130,0.132,0.6479,0.6479
215,399300.SZ,300207.SZ,20231130,0.132,1.0267,1.0267
216,399300.SZ,600233.SH,20231130,0.131,-1.3644,-1.3644
217,399300.SZ,000983.SZ,20231130,0.128,1.5416,1.5416
218,399300.SZ,601618.SH,20231130,0.128,-0.3257,-0.3257
219,399300.SZ,601238.SH,20231130,0.128,0.6904,0.6904
220,399300.SZ,300601.SZ,20231130,0.125,0.9294,0.9294
221,399300.SZ,601615.SH,20231130,0.124,1.2107,1.2107
222,399300.SZ,300454.SZ,20231130,0.123,-0.4544,-0.4544
223,399300.SZ,600332.SH,20231130,0.123,-0.1745,-0.1745
224,399300.SZ,601021.SH,20231130,0.121,-1.1032,-1.1032
225,399300.SZ,300999.SZ,20231130,0.121,-0.1794,-0.1794
226,399300.SZ,601799.SH,20231130,0.12,0.8927,0.8927
227,399300.SZ,600460.SH,20231130,0.119,1.1072,1.1072
228,399300.SZ,601878.SH,20231130,0.118,-0.1914,-0.1914
229,399300.SZ,600039.SH,20231130,0.117,-0.3989,-0.3989
230,399300.SZ,600219.SH,20231130,0.117,1.0309,1.0309
231,399300.SZ,600183.SH,20231130,0.116,1.7788,1.7788
232,399300.SZ,601607.SH,20231130,0.116,0.7225,0.7225
233,399300.SZ,600918.SH,20231130,0.116,-0.1456,-0.1456
234,399300.SZ,688303.SH,20231130,0.115,-0.3034,-0.3034
235,399300.SZ,603659.SH,20231130,0.114,-1.4131,-1.4131
236,399300.SZ,601872.SH,20231130,0.113,-0.339,-0.339
237,399300.SZ,300413.SZ,20231130,0.112,1.5719,1.5719
238,399300.SZ,002841.SZ,20231130,0.111,1.9381,1.9381
239,399300.SZ,000408.SZ,20231130,0.11,0.1977,0.1977
240,399300.SZ,000723.SZ,20231130,0.109,-0.2994,-0.2994
241,399300.SZ,603392.SH,20231130,0.108,10.0,10.0
242,399300.SZ,600362.SH,20231130,0.107,0.4499,0.4499
243,399300.SZ,600763.SH,20231130,0.107,-2.1753,-2.1753
244,399300.SZ,600061.SH,20231130,0.103,-0.2959,-0.2959
245,399300.SZ,688223.SH,20231130,0.103,-1.3363,-1.3363
246,399300.SZ,600732.SH,20231130,0.103,2.2609,2.2609
247,399300.SZ,603260.SH,20231130,0.102,-1.0669,-1.0669
248,399300.SZ,603806.SH,20231130,0.101,-1.0196,-1.0196
249,399300.SZ,600132.SH,20231130,0.1,-1.2777,-1.2777
250,399300.SZ,601898.SH,20231130,0.099,0.0,0.0
251,399300.SZ,601998.SH,20231130,0.096,-0.5639,-0.5639
252,399300.SZ,300223.SZ,20231130,0.095,0.2948,0.2948
253,399300.SZ,300628.SZ,20231130,0.094,0.7844,0.7844
254,399300.SZ,600875.SH,20231130,0.094,1.387,1.387
255,399300.SZ,600383.SH,20231130,0.094,-1.5801,-1.5801
256,399300.SZ,601319.SH,20231130,0.094,0.0,0.0
257,399300.SZ,603290.SH,20231130,0.093,-0.9196,-0.9196
258,399300.SZ,600754.SH,20231130,0.09,0.7752,0.7752
259,399300.SZ,600884.SH,20231130,0.088,-2.0144,-2.0144
260,399300.SZ,600025.SH,20231130,0.087,-0.3464,-0.3464
261,399300.SZ,002916.SZ,20231130,0.087,0.3676,0.3676
262,399300.SZ,002938.SZ,20231130,0.087,5.5319,5.5319
263,399300.SZ,300751.SZ,20231130,0.087,0.9038,0.9038
264,399300.SZ,600803.SH,20231130,0.086,1.3253,1.3253
265,399300.SZ,603899.SH,20231130,0.085,2.7079,2.7079
266,399300.SZ,000708.SZ,20231130,0.084,1.0799,1.0799
267,399300.SZ,000617.SZ,20231130,0.084,0.1855,0.1855
268,399300.SZ,601865.SH,20231130,0.084,0.3759,0.3759
269,399300.SZ,603833.SH,20231130,0.084,0.8256,0.8256
270,399300.SZ,300769.SZ,20231130,0.084,-2.6635,-2.6635
271,399300.SZ,002756.SZ,20231130,0.083,1.4574,1.4574
272,399300.SZ,600018.SH,20231130,0.082,-1.6064,-1.6064
273,399300.SZ,000069.SZ,20231130,0.082,-1.5823,-1.5823
274,399300.SZ,688363.SH,20231130,0.08,-1.5591,-1.5591
275,399300.SZ,002064.SZ,20231130,0.079,-0.4451,-0.4451
276,399300.SZ,300919.SZ,20231130,0.077,0.8622,0.8622
277,399300.SZ,300763.SZ,20231130,0.077,-4.0362,-4.0362
278,399300.SZ,002414.SZ,20231130,0.077,1.2483,1.2483
279,399300.SZ,601216.SH,20231130,0.076,-0.2667,-0.2667
280,399300.SZ,688561.SH,20231130,0.072,0.2501,0.2501
281,399300.SZ,002120.SZ,20231130,0.072,-0.7979,-0.7979
282,399300.SZ,000877.SZ,20231130,0.07,-1.4749,-1.4749
283,399300.SZ,601155.SH,20231130,0.067,0.2636,0.2636
284,399300.SZ,603195.SH,20231130,0.066,0.3146,0.3146
285,399300.SZ,688005.SH,20231130,0.066,-0.2756,-0.2756
286,399300.SZ,605117.SH,20231130,0.063,-0.1072,-0.1072
287,399300.SZ,600606.SH,20231130,0.06,-0.4329,-0.4329
288,399300.SZ,688187.SH,20231130,0.058,0.3037,0.3037
289,399300.SZ,603486.SH,20231130,0.057,0.5825,0.5825
290,399300.SZ,688065.SH,20231130,0.055,0.237,0.237
291,399300.SZ,603185.SH,20231130,0.055,-0.2996,-0.2996
292,399300.SZ,000800.SZ,20231130,0.053,0.5917,0.5917
293,399300.SZ,300957.SZ,20231130,0.053,-0.6558,-0.6558
294,399300.SZ,601808.SH,20231130,0.051,0.2743,0.2743
295,399300.SZ,605499.SH,20231130,0.05,3.1363,3.1363
296,399300.SZ,601698.SH,20231130,0.045,2.426,2.426
297,399300.SZ,601236.SH,20231130,0.043,0.0,0.0
298,399300.SZ,300979.SZ,20231130,0.042,0.8236,0.8236
299,399300.SZ,001289.SZ,20231130,0.017,1.123,1.123
