,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
142,20230804,0,0,0,0,0,0,0,0,0,0,0.3894
143,20230807,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0064529999999999995,0,0,-0.7568
144,20230808,0,0,0,0,0,0,0,0,0,0,-0.2612
145,20230809,0,0,0,0,0,0,0,0,0,0,-0.3057
146,20230810,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00039600000000000003,0,0,0.2055
147,20230811,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.00039600000000000003,0,0,-2.3005
148,20230814,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0012770000000000001,0,0,-0.7298
149,20230815,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0012339999999999999,0,0,-0.243
150,20230816,0,0,0,0,0,0,0,0,0,0,-0.7332
151,20230817,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001101,0,0,0.3344
152,20230818,0,0,0,0,0,0,0,0,0,0,-1.2293
153,20230821,0,0,0,0,0,0,0,0,0,0,-1.4389
154,20230822,0.0033333333333333335,0.006666666666666667,0,0,0,-0.0033333333333333335,0,-0.00046500000000000014,0,0,0.7688
155,20230823,0,0,0,0,0,0,0,0,0,0,-1.6389
156,20230824,0.006666666666666667,0.006666666666666667,0,0,0,0.0,0,0.0004460000000000002,0,0,0.7249
157,20230825,0,0.01,0,0,0,-0.01,0,-0.0051400000000000005,0,0,-0.3835
158,20230828,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.000911,0,0,1.1719
159,20230829,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.007251999999999999,0,0,0.999
160,20230830,0,0,0,0,0,0,0,0,0,0,-0.0421
161,20230831,0,0,0,0,0,0,0,0,0,0,-0.6135
162,20230901,0,0,0,0,0,0,0,0,0,0,0.6965
163,20230904,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0012439999999999999,0,0,1.5155
164,20230905,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0012900000000000001,0,0,-0.744
165,20230906,0,0,0,0,0,0,0,0,0,0,-0.217
166,20230907,0,0,0,0,0,0,0,0,0,0,-1.4049
167,20230908,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.000393,0,0,-0.4917
168,20230911,0,0,0,0,0,0,0,0,0,0,0.7365
169,20230912,0,0,0,0,0,0,0,0,0,0,-0.184
170,20230913,0,0,0,0,0,0,0,0,0,0,-0.637
171,20230914,0,0,0,0,0,0,0,0,0,0,-0.0841
172,20230915,0,0,0,0,0,0,0,0,0,0,-0.6624
173,20230918,0,0,0,0,0,0,0,0,0,0,0.5105
174,20230919,0,0,0,0,0,0,0,0,0,0,-0.1934
175,20230920,0,0,0,0,0,0,0,0,0,0,-0.3981
176,20230921,0,0,0,0,0,0,0,0,0,0,-0.8971
